Order,ShortID,StimulusID,Order1,Order2,Naming1,Naming2,Intensity,Familiarity,Pleasantness,Edibility,Medicinal,Frequency,CorrectNaming1,CorrectNaming2,Consistency
144,P12,okaliptus,16,6,okaliptus,okaliptus,7,6,7,3,5,4,1,1,1
145,P13,babune,1,13,babune,babune,3,5,4,3,5,6,1,1,1
146,P13,zardchube,2,14,N/A,zardchube,4,4,4,3,5,7,999,1,N/A
147,P13,na'na,3,9,nana/pune,nana,5,4,5,4,2,5,1,1,1
148,P13,limu amani,4,15,limu amuni,pudre limu amani,5,4,4,3,2,5,1,1,1
149,P13,bahare naranj,5,10,bahare naranj,bahar narenj,6,6,6,5,3,4,1,1,1
150,P13,zire,6,11,zire,zire,5,5,3,2,5,4,1,1,1
151,P13,behlimu,7,16,behlimu,behlimu,4,4,5,4,5,5,1,1,1
152,P13,raziyune,8,8,raziane,raziune,5,4,5,5,4,5,1,1,1
153,P13,za'ferun,9,7,zaferun,zafarun,6,5,6,6,3,5,1,1,1
154,P13,rozmari,10,3,N/A,marze,4,3,4,3,5,4,999,0,N/A
155,P13,darchin,11,12,darchin,darchin,4,5,4,3,4,7,1,1,1
156,P13,ostokhoddus,12,2,avishan,ostokhodus,5,5,5,4,6,7,0,1,0
157,P13,rishmak/shirin bayan,13,1,shirin bayan ,shirin bayan,7,7,3,1,5,5,1,1,1
158,P13,avishan,14,5,avishan,avishan,5,5,6,5,5,6,1,1,1
159,P13,mikhak,15,4,mikhak,mikhak,7,6,5,3,4,5,1,1,1
160,P13,okaliptus,16,6,N/A,hel,5,4,4,5,2,5,999,0,N/A
161,P14,babune,1,13,babune,babune,3,5,2,6,4,5,1,1,1
162,P14,zardchube,2,14,zardchube,zardchube,5,6,3,5,3,6,1,1,1
163,P14,na'na,3,9,nana,nana,6,5,5,4,6,5,1,1,1
164,P14,limu amani,4,15,limu amuni,limu amuni,4,5,3,5,2,4,1,1,1
165,P14,bahare naranj,5,10,bahar naranj,bahar narenj,6,6,7,7,3,5,1,1,1
166,P14,zire,6,11,zire,zire,3,3,2,4,5,4,1,1,1
167,P14,behlimu,7,16,behlimu,barge behlimu,7,7,7,5,4,6,1,1,1
168,P14,raziyune,8,8,raziune,raziune,6,6,4,3,5,6,1,1,1
169,P14,za'ferun,9,7,zaferun,zafarun,7,7,7,7,2,6,1,1,1
170,P14,rozmari,10,3,rozmari,rozmari,4,7,5,4,3,6,1,1,1
171,P14,darchin,11,12,darchin,darchin,3,4,4,5,3,5,1,1,1
172,P14,ostokhoddus,12,2,ostokhoddus,ostokhodus,5,7,6,4,5,7,1,1,1
173,P14,rishmak/shirin bayan,13,1,shirin bayan,shirin bayan,7,7,1,1,3,2,1,1,1
174,P14,avishan,14,5,avishan,avishan,7,7,5,6,5,7,1,1,1
175,P14,mikhak,15,4,mikhak,mikhak,7,7,3,2,6,5,1,1,1
176,P14,okaliptus,16,6,hel,N/A,6,2,5,5,7,1,0,999,N/A
177,P18,babune,1,13,babune,babune,4,7,5,5,7,3,1,1,1
178,P18,zardchube,2,14,N/A,N/A,5,6,2,2,3,3,999,999,N/A
179,P18,na'na,3,9,N/A,N/A,7,5,5,3,3,2,999,999,N/A
180,P18,limu amani,4,15,limu amuni,limu amuni,7,6,6,5,5,3,1,1,1
181,P18,bahare naranj,5,10,bahar naranj,bahar naranj,7,7,7,7,7,4,1,1,1
182,P18,zire,6,11,zire,zire,7,7,5,7,7,7,1,1,1
183,P18,behlimu,7,16,N/A,N/A,3,3,3,2,2,1,999,999,N/A
184,P18,raziyune,8,8,N/A,tarkhun,7,7,7,7,7,7,999,0,N/A
185,P18,za'ferun,9,7,zaferun,zaferun,6,6,7,4,7,7,1,1,1
186,P18,rozmari,10,3,okaliptus,okaliptus,4,6,5,7,7,7,0,0,1
187,P18,darchin,11,12,darchin,darchin,7,7,7,7,7,7,1,1,1
188,P18,ostokhoddus,12,2,N/A,ostokhoddus,6,6,4,7,7,3,999,1,N/A
189,P18,rishmak/shirin bayan,13,1,N/A,N/A,2,2,2,2,3,1,999,999,N/A
190,P18,avishan,14,5,zenyun,avishan,7,7,3,7,7,7,0,1,0
191,P18,mikhak,15,4,hel,hel,6,7,7,5,7,3,0,0,1
192,P18,okaliptus,16,6,limu amuni,limu amuni,7,7,5,7,7,7,0,0,1
193,P19,babune,1,13,N/A,N/A,4,5,4,5,2,3,999,999,N/A
194,P19,zardchube,2,14,zardchube,zardchube,6,7,4,5,3,7,1,1,1
195,P19,na'na,3,9,na'na,na'na,3,5,5,6,6,7,1,1,1
196,P19,limu amani,4,15,limu amuni,limu amuni,5,7,6,6,3,6,1,1,1
197,P19,bahare naranj,5,10,bahar naranj,bahar naranj,7,7,7,5,4,5,1,1,1
198,P19,zire,6,11,zire,zire,6,6,5,6,3,6,1,1,1
199,P19,behlimu,7,16,N/A,N/A,4,3,3,3,4,3,999,999,N/A
200,P19,raziyune,8,8,raziyune,raziyune,7,7,2,1,3,1,1,1,1
201,P19,za'ferun,9,7,zaferun,zaferun,6,7,5,7,5,7,1,1,1
202,P19,rozmari,10,3,avishan,avishan,5,6,6,6,6,7,0,0,1
203,P19,darchin,11,12,darchin,darchin,5,7,6,6,2,6,1,1,1
204,P19,ostokhoddus,12,2,N/A,N/A,5,4,4,3,5,4,999,999,N/A
205,P19,rishmak/shirin bayan,13,1,shirin bayan,shirin bayan,3,7,4,1,7,1,1,1,1
206,P19,avishan,14,5,avishan,avishan,6,7,7,7,4,4,1,1,1
207,P19,mikhak,15,4,mikhak,mikhak,7,7,5,1,6,2,1,1,1
208,P19,okaliptus,16,6,okaliptus,okaliptus,5,6,5,1,5,3,1,1,1
209,P20,babune,1,13,N/A,babune,6,7,6,6,6,5,999,1,N/A
210,P20,zardchube,2,14,zardchube,zardchube,7,7,5,6,4,7,1,1,1
211,P20,na'na,3,9,na'na,na'na,6,6,5,6,6,7,1,1,1
212,P20,limu amani,4,15,somaq,limu amuni,3,3,2,4,2,4,0,1,0
213,P20,bahare naranj,5,10,N/A,bahar naranj,5,6,7,6,5,5,999,1,N/A
214,P20,zire,6,11,zire,zire,5,6,6,7,6,7,1,1,1
215,P20,behlimu,7,16,N/A,N/A,2,2,2,3,3,3,999,999,N/A
216,P20,raziyune,8,8,tarkhun,N/A,6,5,5,4,4,5,0,999,N/A
217,P20,za'ferun,9,7,N/A,N/A,2,1,2,1,3,2,999,999,N/A
218,P20,rozmari,10,3,N/A,N/A,3,4,3,2,3,3,999,999,N/A
219,P20,darchin,11,12,darchin,darchin,7,7,7,6,6,7,1,1,1
220,P20,ostokhoddus,12,2,N/A,N/A,4,5,3,4,2,4,999,999,N/A
221,P20,rishmak/shirin bayan,13,1,N/A,N/A,2,3,2,3,1,2,999,999,N/A
222,P20,avishan,14,5,avishan,avishan,6,7,5,7,6,7,1,1,1
223,P20,mikhak,15,4,mikhak,mikhak,6,7,6,4,7,4,1,1,1
224,P20,okaliptus,16,6,limu amuni,limu amuni,4,3,3,4,3,3,0,0,1
225,P23,babune,1,13,N/A,N/A,3,2,4,2,2,1,999,999,N/A
226,P23,zardchube,2,14,N/A,zardchube,4,7,4,6,4,6,999,1,N/A
227,P23,na'na,3,9,na'na,na'na,7,7,7,6,5,7,1,1,1
228,P23,limu amani,4,15,namak,N/A,4,4,3,2,4,3,0,999,N/A
229,P23,bahare naranj,5,10,N/A,N/A,4,3,4,4,3,2,999,999,N/A
230,P23,zire,6,11,zire,zire,6,7,2,2,5,6,1,1,1
231,P23,behlimu,7,16,N/A,N/A,5,4,3,4,3,4,999,999,N/A
232,P23,raziyune,8,8,N/A,N/A,5,4,3,4,5,3,999,999,N/A
233,P23,za'ferun,9,7,zaferun,zaferun,6,7,6,6,4,5,1,1,1
234,P23,rozmari,10,3,N/A,N/A,4,6,2,3,6,3,999,999,N/A
235,P23,darchin,11,12,darchin,darchin,6,7,5,4,4,5,1,1,1
236,P23,ostokhoddus,12,2,N/A,N/A,5,4,4,5,4,1,999,999,N/A
