Order,ShortID,StimulusID,Order1,Order2,Naming1,Naming2,Intensity,Familiarity,Pleasantness,Edibility,Medicinal,Frequency,CorrectNaming1,CorrectNaming2,Consistency
651,P24,darchin,11,12,darchin,darchin,6,7,7,5,5,7,1,1,1
652,P24,ostokhoddus,12,2,N/A,N/A,6,6,7,3,6,4,999,999,N/A
653,P24,rishmak/shirin bayan,13,1,rishmak,rishmak,3,2,1,1,7,2,1,1,1
654,P24,avishan,14,5,avishan,avishan,6,7,6,7,6,6,1,1,1
655,P24,mikhak,15,4,dandunpezeshki,N/A,2,4,3,1,5,3,0,999,N/A
656,P24,okaliptus,16,6,viks,viks,7,6,7,2,7,4,0,0,1
657,P25,babune,1,13,golgavzabun,N/A,5,4,5,5,3,2,0,999,N/A
658,P25,zardchube,2,14,zardchube,zardchube,7,7,5,4,6,6,1,1,1
659,P25,na'na,3,9,nana,na'na,7,7,6,6,5,6,1,1,1
660,P25,limu amani,4,15,limu amuni,limu amuni,5,7,5,5,5,7,1,1,1
661,P25,bahare naranj,5,10,bahar naranj,bahar naranj,7,7,7,7,4,5,1,1,1
662,P25,zire,6,11,shanbelile,N/A,6,5,4,4,6,2,0,999,N/A
663,P25,behlimu,7,16,N/A,N/A,6,6,6,5,3,1,999,999,N/A
664,P25,raziyune,8,8,N/A,na'na,7,7,5,7,5,6,999,0,N/A
665,P25,za'ferun,9,7,zaferun,zaferun,7,7,7,7,3,7,1,1,1
666,P25,rozmari,10,3,N/A,N/A,4,5,5,4,4,1,999,999,N/A
667,P25,darchin,11,12,darchin,darchin,7,7,7,7,5,5,1,1,1
668,P25,ostokhoddus,12,2,limu amuni,N/A,5,5,5,3,4,2,0,999,N/A
669,P25,rishmak/shirin bayan,13,1,ghahve,ghahve,5,7,6,5,1,3,0,0,1
670,P25,avishan,14,5,N/A,N/A,7,5,4,7,6,6,999,999,N/A
671,P25,mikhak,15,4,N/A,N/A,5,3,5,5,4,2,999,999,N/A
672,P25,okaliptus,16,6,viks ,N/A,7,7,5,1,3,4,0,999,N/A
673,P28,babune,1,13,babune,babune,6,5,7,4,7,2,1,1,1
674,P28,zardchube,2,14,N/A,N/A,6,6,5,1,6,1,999,999,N/A
675,P28,na'na,3,9,nana,na'na,5,5,5,5,5,6,1,1,1
676,P28,limu amani,4,15,somaq,limu amuni,3,2,4,5,5,2,0,1,0
677,P28,bahare naranj,5,10,bahare naranj,N/A,6,5,5,2,7,2,1,999,N/A
678,P28,zire,6,11,zire,zire,7,7,5,2,5,2,1,1,1
679,P28,behlimu,7,16,N/A,N/A,6,6,7,5,3,2,999,999,N/A
680,P28,raziyune,8,8,N/A,N/A,7,6,6,1,7,2,999,999,N/A
681,P28,za'ferun,9,7,zaferun,zaferun,7,7,5,5,3,4,1,1,1
682,P28,rozmari,10,3,N/A,N/A,1,1,4,1,7,1,999,999,N/A
683,P28,darchin,11,12,darchin,darchin,7,7,6,4,6,6,1,1,1
684,P28,ostokhoddus,12,2,N/A,N/A,3,7,2,1,5,2,999,999,N/A
685,P28,rishmak/shirin bayan,13,1,N/A,N/A,4,5,5,4,3,2,999,999,N/A
686,P28,avishan,14,5,avishan,avishan,7,7,7,2,7,7,1,1,1
687,P28,mikhak,15,4,N/A,N/A,6,7,4,2,6,2,999,999,N/A
688,P28,okaliptus,16,6,okaliptus,okaliptus,1,7,5,1,7,3,1,1,1
689,P38,babune,1,13,avishan,N/A,2,4,2,3,7,5,0,999,N/A
690,P38,zardchube,2,14,limu amuni,zardchube,4,5,3,4,7,7,0,1,0
691,P38,na'na,3,9,na'na,na'na,7,7,7,7,7,7,1,1,1
692,P38,limu amani,4,15,limu amuni,limu amuni,5,5,5,2,7,3,1,1,1
693,P38,bahare naranj,5,10,zaferun,N/A,7,7,7,7,7,7,0,999,N/A
694,P38,zire,6,11,zire,zire,7,7,7,7,7,7,1,1,1
695,P38,behlimu,7,16,N/A,N/A,6,5,5,4,7,4,999,999,N/A
696,P38,raziyune,8,8,zanjefil,N/A,5,4,3,2,7,3,0,999,N/A
697,P38,za'ferun,9,7,zaferun,zaferun,4,6,4,6,7,5,1,1,1
698,P38,rozmari,10,3,N/A,N/A,1,2,1,1,7,2,999,999,N/A
699,P38,darchin,11,12,darchin,darchin,7,7,7,7,7,7,1,1,1
700,P38,ostokhoddus,12,2,N/A,N/A,7,5,3,5,7,2,999,999,N/A
701,P38,rishmak/shirin bayan,13,1,N/A,N/A,1,1,1,1,7,1,999,999,N/A
702,P38,avishan,14,5,avishan,avishan,7,7,6,6,7,7,1,1,1
703,P38,mikhak,15,4,N/A,N/A,6,5,4,2,7,2,999,999,N/A
704,P38,okaliptus,16,6,N/A,N/A,7,3,2,1,7,2,999,999,N/A
705,P39,babune,1,13,na'na,N/A,5,6,5,5,4,3,1,999,N/A
706,P39,zardchube,2,14,zardchube,zardchube,4,5,2,4,3,5,1,1,1
707,P39,na'na,3,9,avishan,na'na,6,7,6,6,6,6,0,1,0
708,P39,limu amani,4,15,N/A,N/A,2,1,2,3,4,2,999,999,N/A
709,P39,bahare naranj,5,10,gole mohammadi,gole mohammadi,6,6,6,6,6,6,0,0,1
710,P39,zire,6,11,zire,zire,5,5,6,6,5,4,1,1,1
711,P39,behlimu,7,16,N/A,N/A,5,4,4,4,5,2,999,999,N/A
712,P39,raziyune,8,8,teranjebin,N/A,5,5,5,7,7,2,0,999,N/A
713,P39,za'ferun,9,7,N/A,N/A,2,2,3,3,3,2,999,999,N/A
714,P39,rozmari,10,3,zenyun,N/A,3,4,4,4,4,2,0,999,N/A
715,P39,darchin,11,12,darchin,darchin,5,5,6,6,6,4,1,1,1
716,P39,ostokhoddus,12,2,N/A,N/A,4,4,5,5,5,3,999,999,N/A
717,P39,rishmak/shirin bayan,13,1,N/A,N/A,3,2,3,3,6,2,999,999,N/A
718,P39,avishan,14,5,avishan,avishan,5,5,4,4,6,6,1,1,1
719,P39,mikhak,15,4,mikhak,mikhak,5,5,3,2,5,2,1,1,1
720,P39,okaliptus,16,6,N/A,N/A,5,5,3,4,5,2,999,999,N/A
